roi_name,mode,support_kind,support_id,y0,x0,height,width,n_pixels,holdout_auroc,holdout_accuracy,holdout_balanced_accuracy,repeated_cv_auroc_mean,repeated_cv_auroc_sd
upper_brow_forehead,combined,named_roi,named,0.0,4.0,8.0,24.0,192,0.8601398601398602,0.6666666666666666,0.6783216783216783,0.755129476584022,0.0986594689255047
upper_brow_forehead,combined,translated_rectangle,translated_001,12.0,4.0,8.0,24.0,192,0.9370629370629372,0.875,0.8776223776223776,0.7504683195592287,0.1054381697423665
upper_brow_forehead,combined,translated_rectangle,translated_002,1.0,6.0,8.0,24.0,192,1.0,0.8333333333333334,0.8461538461538461,0.8043002754820937,0.0845914009982922
upper_brow_forehead,combined,translated_rectangle,translated_003,4.0,7.0,8.0,24.0,192,0.986013986013986,0.9583333333333334,0.9615384615384616,0.8063278236914599,0.0918384390991831
upper_brow_forehead,combined,translated_rectangle,translated_004,18.0,1.0,8.0,24.0,192,0.944055944055944,0.9166666666666666,0.916083916083916,0.7466170798898074,0.0914860146834244
upper_brow_forehead,combined,translated_rectangle,translated_005,17.0,1.0,8.0,24.0,192,0.993006993006993,0.9583333333333334,0.9615384615384616,0.8285123966942147,0.0954626984289113
upper_brow_forehead,combined,translated_rectangle,translated_006,13.0,8.0,8.0,24.0,192,0.958041958041958,0.9166666666666666,0.916083916083916,0.7549724517906335,0.0954684783789684
upper_brow_forehead,combined,translated_rectangle,translated_007,22.0,4.0,8.0,24.0,192,0.8741258741258742,0.7916666666666666,0.7937062937062938,0.6735426997245179,0.0976497680747801
upper_brow_forehead,combined,translated_rectangle,translated_008,20.0,1.0,8.0,24.0,192,0.8461538461538461,0.7916666666666666,0.7937062937062938,0.6795757575757577,0.0984078187875777
upper_brow_forehead,combined,translated_rectangle,translated_009,4.0,0.0,8.0,24.0,192,0.9090909090909092,0.875,0.8706293706293706,0.7581735537190083,0.0955137261105944
upper_brow_forehead,combined,translated_rectangle,translated_010,5.0,1.0,8.0,24.0,192,0.895104895104895,0.8333333333333334,0.8321678321678322,0.742129476584022,0.089089675702301
upper_brow_forehead,combined,translated_rectangle,translated_011,11.0,8.0,8.0,24.0,192,0.9440559440559442,0.875,0.8776223776223776,0.7340798898071625,0.1064891110348718
upper_brow_forehead,combined,translated_rectangle,translated_012,24.0,7.0,8.0,24.0,192,0.8671328671328671,0.75,0.7552447552447552,0.7028374655647383,0.0988267014142687
upper_brow_forehead,combined,translated_rectangle,translated_013,13.0,4.0,8.0,24.0,192,0.944055944055944,0.8333333333333334,0.8391608391608392,0.7537438016528927,0.1014811483583864
upper_brow_forehead,combined,translated_rectangle,translated_014,7.0,6.0,8.0,24.0,192,0.923076923076923,0.7916666666666666,0.7937062937062938,0.7855151515151515,0.0872069580071187
upper_brow_forehead,combined,translated_rectangle,translated_015,13.0,5.0,8.0,24.0,192,0.9370629370629372,0.875,0.8776223776223776,0.7518457300275483,0.087732119968753
upper_brow_forehead,combined,translated_rectangle,translated_016,14.0,7.0,8.0,24.0,192,0.9790209790209792,0.9166666666666666,0.916083916083916,0.7523884297520661,0.0949433782196392
upper_brow_forehead,combined,translated_rectangle,translated_017,21.0,6.0,8.0,24.0,192,0.8671328671328671,0.7083333333333334,0.7097902097902098,0.6678457300275481,0.0834876565884251
upper_brow_forehead,combined,translated_rectangle,translated_018,24.0,8.0,8.0,24.0,192,0.8531468531468531,0.75,0.7552447552447552,0.7054022038567492,0.0864066767640628
upper_brow_forehead,combined,translated_rectangle,translated_019,0.0,1.0,8.0,24.0,192,0.7832167832167832,0.5833333333333334,0.5944055944055944,0.744732782369146,0.108876004427143
upper_brow_forehead,combined,translated_rectangle,translated_020,23.0,3.0,8.0,24.0,192,0.8531468531468531,0.7916666666666666,0.7937062937062938,0.7091515151515153,0.1027490340956745
upper_brow_forehead,combined,translated_rectangle,translated_021,14.0,0.0,8.0,24.0,192,0.8881118881118881,0.75,0.7552447552447552,0.777542699724518,0.0993869859256572
upper_brow_forehead,combined,translated_rectangle,translated_022,10.0,4.0,8.0,24.0,192,0.8671328671328672,0.7083333333333334,0.7167832167832169,0.7402231404958677,0.1042131817916663
upper_brow_forehead,combined,translated_rectangle,translated_023,21.0,4.0,8.0,24.0,192,0.8531468531468531,0.7916666666666666,0.7937062937062938,0.6574793388429753,0.085469915054045
upper_brow_forehead,combined,translated_rectangle,translated_024,0.0,0.0,8.0,24.0,192,0.7762237762237763,0.6666666666666666,0.6713286713286714,0.7448429752066115,0.1112292896081056
upper_brow_forehead,combined,translated_rectangle,translated_025,7.0,1.0,8.0,24.0,192,0.8811188811188811,0.8333333333333334,0.8391608391608392,0.7843829201101928,0.0843495988797922
upper_brow_forehead,combined,translated_rectangle,translated_026,9.0,5.0,8.0,24.0,192,0.8951048951048951,0.8333333333333334,0.8391608391608392,0.7544545454545455,0.1092447551430706
upper_brow_forehead,combined,translated_rectangle,translated_027,22.0,6.0,8.0,24.0,192,0.8741258741258742,0.7916666666666666,0.8006993006993006,0.6904297520661157,0.0932518935077401
upper_brow_forehead,combined,translated_rectangle,translated_028,3.0,5.0,8.0,24.0,192,0.972027972027972,0.9583333333333334,0.9615384615384616,0.8326088154269972,0.0801307211071218
