roi_name,mode,named_holdout_auroc,translated_holdout_mean,translated_holdout_q975,holdout_location_margin,named_exceeds_holdout_q975,named_repeated_cv_auroc,translated_repeated_cv_q975,repeated_cv_location_margin,named_exceeds_repeated_cv_q975,passes_both_location_gates,random_scattered_holdout_mean,random_scattered_holdout_q975
upper_brow_forehead,combined,0.8601398601398602,0.9143356643356644,0.988986013986014,-0.1288461538461537,False,0.755129476584022,0.826508608815427,-0.071379132231405,False,False,0.908763111888112,0.972027972027972
upper_brow_forehead,static,0.7972027972027972,0.8202578671328671,0.8881118881118881,-0.0909090909090909,False,,,,False,False,,
upper_brow_forehead,dynamics,0.6853146853146853,0.8191652097902098,0.926048951048951,-0.2407342657342657,False,,,,False,False,,
left_periocular,combined,0.8601398601398602,0.8705201048951049,0.970979020979021,-0.1108391608391607,False,0.6719338842975207,0.812920730027548,-0.1409868457300274,False,False,0.8695367132867133,0.961013986013986
left_periocular,static,0.8111888111888111,0.8258304195804196,0.954020979020979,-0.1428321678321679,False,,,,False,False,,
left_periocular,dynamics,0.8041958041958042,0.776333041958042,0.933041958041958,-0.1288461538461538,False,,,,False,False,,
right_periocular,combined,0.916083916083916,0.8638548951048951,0.988986013986014,-0.0729020979020979,False,0.7691928374655648,0.816275688705234,-0.0470828512396692,False,False,0.8560970279720279,0.9569930069930068
right_periocular,static,0.7272727272727273,0.8080201048951049,0.922027972027972,-0.1947552447552447,False,,,,False,False,,
right_periocular,dynamics,0.8391608391608392,0.7546984265734266,0.940034965034965,-0.1008741258741258,False,,,,False,False,,
nasal_midface,combined,0.7692307692307693,0.7620192307692307,0.961013986013986,-0.1917832167832166,False,0.7405206611570248,0.8137497933884299,-0.0732291322314051,False,False,0.8357736013986014,0.937062937062937
nasal_midface,static,0.7972027972027972,0.7251966783216783,0.887062937062937,-0.0898601398601398,False,,,,False,False,,
nasal_midface,dynamics,0.6923076923076923,0.6870629370629371,0.9069930069930068,-0.2146853146853146,False,,,,False,False,,
left_cheek_zygomatic,combined,0.6993006993006994,0.8863636363636364,0.988986013986014,-0.2896853146853145,False,0.6884793388429752,0.8271149449035812,-0.138635606060606,False,False,0.875,0.9709790209790208
left_cheek_zygomatic,static,0.6503496503496502,0.8214597902097902,0.979020979020979,-0.3286713286713287,False,,,,False,False,,
left_cheek_zygomatic,dynamics,0.7132867132867133,0.7908653846153846,0.918006993006993,-0.2047202797202796,False,,,,False,False,,
right_cheek_zygomatic,combined,0.9020979020979022,0.8948863636363635,0.988986013986014,-0.0868881118881117,False,0.7611212121212121,0.8135639118457301,-0.0524426997245179,False,False,0.8868006993006994,0.958041958041958
right_cheek_zygomatic,static,0.9230769230769232,0.823208041958042,0.977972027972028,-0.0548951048951048,False,,,,False,False,,
right_cheek_zygomatic,dynamics,0.8811188811188811,0.8008085664335665,0.981993006993007,-0.1008741258741258,False,,,,False,False,,
perioral_mouth,combined,0.8461538461538461,0.806708916083916,0.965034965034965,-0.1188811188811188,False,0.6906280991735536,0.7993515151515149,-0.1087234159779613,False,False,0.8482298951048951,0.9400349650349648
perioral_mouth,static,0.8531468531468531,0.7642045454545454,0.8951048951048951,-0.0419580419580419,False,,,,False,False,,
perioral_mouth,dynamics,0.7902097902097902,0.6640078671328671,0.88006993006993,-0.0898601398601397,False,,,,False,False,,
chin_mandible,combined,0.8461538461538461,0.8187281468531469,0.951048951048951,-0.1048951048951049,False,0.7215454545454546,0.8236606749311295,-0.1021152203856748,False,False,0.8541302447552447,0.958041958041958
chin_mandible,static,0.7272727272727273,0.7843094405594406,0.897027972027972,-0.1697552447552447,False,,,,False,False,,
chin_mandible,dynamics,0.6783216783216783,0.6848776223776224,0.8671328671328671,-0.1888111888111887,False,,,,False,False,,
