roi_name,support_id,y0,x0,height,width,n_features,overlap_fraction,auroc_mean_over_model_seeds,auroc_sd_over_model_seeds
upper_brow_forehead,translated_001,12,4,8,24,192,0.0,0.9286340103544406,0.0039259099887134
upper_brow_forehead,translated_002,1,6,8,24,192,0.8020833333333334,0.9215601354042214,0.0013847213760029
upper_brow_forehead,translated_003,4,7,8,24,192,0.4375,0.9232905217045002,0.0020071736442918
upper_brow_forehead,translated_004,18,1,8,24,192,0.0,0.9127329749103942,0.0105147819246764
upper_brow_forehead,translated_005,17,1,8,24,192,0.0,0.9171604938271604,0.0027228618166292
upper_brow_forehead,translated_006,13,8,8,24,192,0.0,0.91257865392274,0.0048385624833185
upper_brow_forehead,translated_007,22,4,8,24,192,0.0,0.8629221425726802,0.0051021899612544
upper_brow_forehead,translated_008,20,1,8,24,192,0.0,0.9119016328156112,0.0056938162400916
upper_brow_forehead,translated_009,4,0,8,24,192,0.4166666666666667,0.9196913580246914,0.0027707519177166
upper_brow_forehead,translated_010,5,1,8,24,192,0.328125,0.9273636001592992,0.0011992758005215
upper_brow_forehead,translated_011,11,8,8,24,192,0.0,0.9137763839107924,0.0029294670534554
upper_brow_forehead,translated_012,24,7,8,24,192,0.0,0.8458034647550777,0.0035802334854308
upper_brow_forehead,translated_013,13,4,8,24,192,0.0,0.9289934289127836,0.0031299704857183
upper_brow_forehead,translated_014,7,6,8,24,192,0.1145833333333333,0.925431103146157,0.0020905536919836
upper_brow_forehead,translated_015,13,5,8,24,192,0.0,0.9226463560334528,0.002008874509628
upper_brow_forehead,translated_016,14,7,8,24,192,0.0,0.9106292313819196,0.0081411424073481
upper_brow_forehead,translated_017,21,6,8,24,192,0.0,0.8941557148546395,0.0101046553891115
upper_brow_forehead,translated_018,24,8,8,24,192,0.0,0.8371455595380327,0.0106991066483452
upper_brow_forehead,translated_019,0,1,8,24,192,0.875,0.9275587415372364,0.0121309487963399
upper_brow_forehead,translated_020,23,3,8,24,192,0.0,0.8588092393468738,0.0163712264083553
upper_brow_forehead,translated_021,14,0,8,24,192,0.0,0.9191049382716048,0.0034758111272644
upper_brow_forehead,translated_022,10,4,8,24,192,0.0,0.919599761051374,0.0051834678016364
upper_brow_forehead,translated_023,21,4,8,24,192,0.0,0.8780615292712067,0.0027082994664197
upper_brow_forehead,translated_024,0,0,8,24,192,0.8333333333333334,0.9309816806053366,0.0052658179223974
upper_brow_forehead,translated_025,7,1,8,24,192,0.109375,0.9362395459976106,0.0034933686950045
upper_brow_forehead,translated_026,9,5,8,24,192,0.0,0.923509557945042,0.001009328160597
upper_brow_forehead,translated_027,22,6,8,24,192,0.0,0.8792035045798486,0.0103460203698331
upper_brow_forehead,translated_028,3,5,8,24,192,0.5989583333333334,0.9292960971724412,0.0027571146219041
upper_brow_forehead,translated_029,10,7,8,24,192,0.0,0.917689167662286,0.0021343190976399
upper_brow_forehead,translated_030,8,0,8,24,192,0.0,0.9387674233373158,0.0044564282437286
upper_brow_forehead,translated_031,19,8,8,24,192,0.0,0.9093717642373556,0.0029323648152869
upper_brow_forehead,translated_032,13,7,8,24,192,0.0,0.9140113500597372,0.0045893563760979
upper_brow_forehead,translated_033,3,8,8,24,192,0.5208333333333334,0.9262166467542812,0.0037916925844822
